cluster_id,x_m_0,x_m_1,x_m_2,x_m_3,x_m_4,x_m_5,x_m_6,x_m_7,x_m_8,x_m_9,x_m_10,x_m_11,x_m_12,x_m_13,x_m_14,x_m_15,x_m_16,x_m_17,x_m_18,x_m_19,x_m_20,x_m_21,x_m_22,x_m_23,x_m_24,x_m_25,x_m_26,x_m_27,x_m_28,x_m_29,x_m_30,x_m_31,x_m_32,x_m_33,x_m_34,x_m_35,x_m_36,x_m_37,x_m_38,x_m_39,x_m_40,x_m_41,x_m_42,x_m_43,x_m_44,x_m_45,x_m_46,x_m_47,x_m_48,x_m_49,x_m_50,x_m_51,x_m_52,x_m_53,x_m_54,b_new_0,b_new_1,b_new_2,b_new_3,b_new_4,b_new_5,b_new_6,b_new_7,b_new_8,b_new_9,b_new_10,b_new_11,b_new_12,b_new_13,b_new_14,b_new_15,b_new_16,b_new_17,b_new_18,b_new_19,b_new_20,b_new_21,b_new_22,b_new_23,b_new_24,b_new_25,b_new_26,b_new_27,b_new_28,b_new_29,b_new_30,b_new_31,b_new_32,b_new_33,b_new_34,b_new_35,b_new_36,b_new_37,b_new_38,b_new_39,b_new_40,b_new_41,b_new_42,b_new_43,b_new_44,b_new_45,b_new_46,b_new_47,b_new_48,b_new_49,b_new_50,b_new_51,b_new_52,b_new_53,b_new_54
7,10.7973,-6.8523,3.38638,-3.91434,0.95214,-0.806563,-0.792781,-0.572228,-0.172051,-2.78268,-2.97253,2.88277,0.403457,3.242,-0.0262612,0.766719,-0.418736,1.69334,0.547282,-1.38935,0.230972,-0.470001,-1.66028,0.202687,-0.0935542,0.773271,1.04829,0.63042,-0.0328777,1.80367,-0.423194,0.553293,0.577825,-1.86696,0.844227,-0.128721,-1.32494,1.00968,0.0108067,0.545437,-0.00795938,0.325628,0.655357,0.528817,-1.54211,0.0374729,0.262346,1.2797,1.02191,0.257,0.519885,-0.0666917,0.62776,-0.0772716,0.642275,9.63163,1.8715,1.87508,-3.88243,0.922308,-0.708407,-1.18663,-0.674942,-1.11403,-1.98753,-2.75107,2.99239,-0.0856371,3.43503,0.270457,0.443301,-0.796306,1.69039,0.672494,-1.10337,0.464692,-0.305492,-1.47492,-0.120893,-0.126293,0.55568,1.09611,0.438075,0.0445987,0.915685,-0.22771,0.311913,0.624135,-1.34596,0.781791,0.32504,-1.16134,0.941658,0.20597,0.443005,0.245994,0.196408,0.751185,0.478033,-1.55628,0.294134,0.187688,0.991868,0.693518,0.0411825,0.594266,-0.0779895,0.547056,0.0741725,0.55965
8,13.3974,2.5103,4.61309,-3.62255,-1.27225,-0.47011,-2.2458,-0.24537,-4.72562,5.37144,-1.20101,2.40306,0.331187,3.30534,0.481646,0.0177294,-0.0320211,0.657415,0.16983,-0.699356,2.0911,0.675967,-0.561789,0.463411,-0.92365,-2.02325,1.48682,1.05212,0.210123,0.0286739,1.28474,0.911914,-1.43796,-0.460358,-0.652991,0.232745,0.325463,0.349645,0.330089,0.884199,1.28795,-0.144714,1.57236,0.834839,-1.63801,1.11835,0.533994,-0.302095,-0.588149,-0.524711,1.26258,0.152375,0.1859,0.686706,0.494241,1.27344,5.61376,4.51294,-4.77387,-0.414863,-0.509679,-0.955867,-0.677399,-4.04747,3.35361,-1.73693,3.26337,-0.304944,3.58471,0.373107,-0.0797846,-0.58257,1.04303,0.53374,-0.576026,1.84566,-0.0485006,-0.966905,-0.0542134,-0.634585,-1.48422,1.29292,0.821079,0.474012,0.521769,0.882622,0.163735,-0.551256,-0.174648,-0.193204,0.723606,-0.0152515,0.353682,0.813457,0.895213,1.36013,-0.0181666,1.17897,0.6989,-1.22657,1.02328,0.377634,-0.420159,-0.317264,-0.816509,1.13917,0.449959,0.168857,0.734737,0.838921
9,28.2547,16.4542,-7.84248,-6.22011,3.94338,1.90135,-0.103044,0.501293,0.775782,4.36392,-1.41623,6.00036,0.475214,4.38213,2.2169,2.96162,-1.46348,1.39671,1.94509,0.224192,-1.51712,-4.93516,-0.72041,0.829553,0.727531,3.57026,-2.09174,-1.58892,2.61486,-0.825436,-0.652279,-0.0449319,-1.76275,0.547805,0.631101,2.44865,-0.166479,-2.47974,-2.37144,-2.50543,0.577848,-1.37353,1.08369,0.0677845,-0.895984,-1.869,1.66294,0.322723,1.38874,-0.626166,0.622109,0.230615,1.0038,-2.3248,0.811987,-3.68656,11.7173,-2.07882,-3.69442,1.87909,1.82965,0.0348307,2.63002,1.02701,1.45074,-1.17987,2.97404,0.00745393,2.82129,0.936042,2.54539,-0.974083,0.392715,1.04627,0.653285,-0.491456,-2.13454,-0.589395,0.784636,0.223461,1.09572,-0.459833,-0.913425,0.274165,-0.582517,-0.461215,-0.0363342,-0.509638,-0.103973,0.230656,0.874083,0.316791,-1.05135,-0.828006,-0.818296,0.243609,-0.486468,0.602965,-0.680712,-0.775889,-0.646322,0.500002,0.80423,0.435584,0.0393075,0.57084,-0.103472,0.435725,-1.10812,0.77111
10,-0.282503,-1.7851,-0.289566,-4.46295,2.32065,0.852267,-0.962898,0.034287,0.424317,0.622619,-0.575263,3.28658,-1.24358,1.61853,2.25739,0.257254,0.685482,-0.465899,0.537071,0.27927,-0.06175,-1.47088,0.714209,1.06907,-0.0344151,0.657259,-1.30917,-0.119632,-0.372797,-0.591773,0.29091,1.34558,0.108112,1.22006,0.443287,0.000253783,-0.516363,-0.84771,-0.97089,-0.996149,0.565577,0.726347,-0.105027,-0.0401891,-0.401109,-0.506288,0.306801,-0.443593,0.334956,-0.294597,0.700902,-0.180627,0.449406,-0.237616,0.433424,-0.575567,-1.75286,-0.276029,-4.49569,2.30452,0.849821,-0.950381,0.0376817,0.42648,0.624055,-0.577003,3.26248,-1.23385,1.61114,2.24412,0.258163,0.681069,-0.468159,0.54052,0.274211,-0.0636256,-1.47238,0.705243,1.06745,-0.030821,0.653931,-1.30133,-0.123367,-0.367004,-0.588059,0.292699,1.3354,0.112444,1.21415,0.43754,0.000594729,-0.512344,-0.844639,-0.96447,-0.994833,0.567975,0.720904,-0.105647,-0.040885,-0.397885,-0.499991,0.303743,-0.442288,0.330452,-0.292273,0.695438,-0.181272,0.444485,-0.235603,0.432388
11,-3.61812,3.35748,3.36213,-6.63472,-0.164495,0.434304,-0.873542,-0.102298,-1.25708,0.787984,-1.57044,2.05647,-0.0268514,2.53056,0.48672,0.0997217,-0.292032,1.03336,0.423596,-0.781182,0.541772,-0.632804,-1.02409,-0.222635,-0.398288,-0.103977,0.955881,0.230361,0.0223593,0.164164,0.515912,-0.00883607,0.222308,-0.361352,0.0460736,0.0856755,-0.540327,0.131687,0.617294,0.351043,0.580942,-0.0399871,0.55066,0.136793,-1.079,0.428659,0.113824,0.270656,-0.131106,-0.205511,0.426888,0.14373,0.224521,0.339578,0.253438,-1.3113,4.07035,3.34444,-6.41699,-0.176735,0.403983,-0.964368,-0.107648,-1.40574,0.818725,-1.60512,2.1939,-0.0399118,2.65905,0.518145,0.100057,-0.342068,1.14134,0.434268,-0.832836,0.571609,-0.59266,-1.06286,-0.261076,-0.434397,-0.109513,1.02412,0.257723,0.0287785,0.154341,0.511645,0.00380465,0.199533,-0.406154,0.0770389,0.138622,-0.587242,0.169945,0.664587,0.407996,0.561128,-0.0397252,0.590721,0.133801,-1.11968,0.455571,0.122667,0.305237,-0.149845,-0.221876,0.445513,0.152653,0.254834,0.370883,0.254663
12,-5.88945,2.48572,1.68123,-6.47438,1.44846,0.838093,-0.199989,-0.494618,1.24261,-0.279945,-1.24031,1.93978,-0.0134635,1.69884,0.854281,0.382982,-0.126531,0.327982,0.683138,-0.126526,-0.549315,-1.56641,-0.421274,0.550491,0.188557,1.25254,-0.29436,-0.617372,0.34884,0.125244,-0.0881537,0.466886,0.10655,0.0346664,0.267442,-0.100831,-0.521275,-0.689519,-1.03405,-0.785014,0.508479,0.103626,0.0902992,0.215788,-0.645646,-0.487441,0.419513,-0.0868371,0.540354,-0.214296,0.357265,-0.0303397,0.405187,-0.426602,0.483975,-0.509858,3.51404,1.45582,-5.80331,1.70925,0.841322,-0.300746,-0.462172,1.29787,-0.332806,-1.31559,2.28436,-0.0359807,1.89111,0.996036,0.485482,-0.14871,0.482858,0.660659,-0.146728,-0.651407,-1.60683,-0.423562,0.592361,0.158405,1.44871,-0.315972,-0.665482,0.40055,0.132912,-0.182873,0.595426,0.0229356,-0.0461086,0.363592,-0.0413438,-0.589769,-0.745664,-1.1633,-0.83346,0.425998,0.112669,0.139169,0.216564,-0.738126,-0.604323,0.506684,-0.039694,0.654654,-0.242236,0.434034,-0.0692862,0.505388,-0.517116,0.528498
13,-8.61892,4.813,0.00878451,-5.11983,1.69934,0.088633,-2.19021,-1.20378,0.230788,0.150596,-1.16019,1.81388,-1.29984,0.932009,1.16805,-0.718427,0.148982,-1.01659,0.636449,0.460307,-0.142158,-0.737126,0.0383184,0.0822173,0.118873,-0.144931,-0.412027,0.0119059,-0.403445,-0.45334,0.135827,0.162158,0.542645,0.982671,0.158607,-0.262678,-0.49754,0.0127334,0.170219,-0.449593,0.755192,0.809037,0.107981,-0.269555,-0.366127,0.257005,-0.0108345,-0.403278,-0.523734,-0.298861,0.649915,-0.289379,0.0371109,0.485209,-0.136788,-2.25749,6.68924,-0.524245,-4.40814,2.09659,0.009455,-2.70161,-1.33959,-0.033232,0.035673,-1.21675,2.14582,-1.58754,0.984746,1.33595,-0.792142,0.148562,-1.05585,0.660273,0.478051,-0.15197,-0.60635,0.12887,0.014015,0.0778976,-0.138869,-0.48903,0.0892794,-0.490286,-0.565972,0.0860764,0.169511,0.542748,1.06936,0.21982,-0.28039,-0.585385,0.0999582,0.262128,-0.432401,0.697696,0.960198,0.146001,-0.40776,-0.371188,0.236825,0.037407,-0.429884,-0.579507,-0.321493,0.755033,-0.363445,0.0914881,0.526048,-0.209744
14,15.4914,5.95256,-1.05922,-5.29648,3.73895,0.510037,-1.80656,-0.574726,0.00742366,-2.11038,-1.8702,2.65152,-0.782457,1.2117,-0.0657462,-0.0429289,0.445158,0.548892,2.06948,-0.334471,-0.484052,-1.06195,-1.19203,-0.159694,-0.32684,0.925251,-0.0687665,-0.183006,-0.215073,0.975136,-1.86235,-0.745485,-0.19704,-1.34126,-0.0678743,-0.428559,-0.917696,0.533022,0.226013,0.148996,0.160809,0.404053,0.0345384,-0.490053,-0.709426,-0.322274,0.22917,0.564447,0.000887562,0.306,-0.21233,-0.744975,0.167931,0.195548,-0.184975,-0.334809,3.04104,-0.28737,-6.18534,1.9344,0.155659,-1.63776,-1.2185,1.80941,-1.88019,-1.59689,1.76568,-0.0160482,1.42339,-0.515552,0.452328,-0.672757,0.652094,1.20406,-0.0594873,-0.241799,-0.860423,-1.22893,0.176705,0.166093,0.830157,0.251731,-0.462572,-0.0551425,0.77085,-0.973254,-0.216207,0.380061,-0.91003,0.164103,-0.211281,-0.7899,0.283112,-0.104008,0.067805,0.135702,0.307823,-0.0574943,-0.258843,-1.45634,-0.26658,0.274073,0.772667,0.322286,0.436479,-0.45819,-0.640911,0.137416,-0.0187283,0.0166549
15,-5.93537,5.90293,3.08142,-5.74477,-0.158254,0.156579,-1.1737,-0.794992,-1.59916,2.33791,-1.49997,2.11968,-0.532434,1.927,0.473302,0.216185,-0.646879,1.18127,0.522763,-0.590451,0.237828,-0.502581,-0.783251,-0.739745,-0.118503,-0.83483,0.887409,0.493436,0.243129,-0.107616,0.82879,-0.157892,0.0912627,0.357514,-0.0826393,0.550778,-0.424772,-0.15153,0.62472,0.278206,0.991224,-0.0945714,0.482358,0.193386,-1.10668,0.832375,0.369627,-0.0889819,-0.458612,-0.62468,0.175313,0.224639,0.0615214,0.694797,0.26994,-2.6061,6.94819,3.13418,-5.34736,-0.210134,0.0809028,-1.28441,-0.724831,-1.85762,2.54221,-1.57401,2.37657,-0.594052,2.09935,0.529695,0.271883,-0.6915,1.32462,0.498886,-0.627359,0.279785,-0.440785,-0.856255,-0.826802,-0.158819,-0.894347,1.01933,0.571918,0.26973,-0.130947,0.869241,-0.151189,0.0533803,0.321185,-0.0529675,0.604924,-0.464846,-0.140084,0.718162,0.365096,0.991317,-0.108217,0.557708,0.199613,-1.22595,0.886436,0.371056,-0.0485988,-0.504814,-0.681879,0.208389,0.238735,0.0603496,0.732397,0.277365
